year,monty,day,special day,gj_high temp,bs_high temp,s_high temp,MWh*1000,,,year,monty,day,gj_high temp,bs_high temp,s_high temp
2014,1,1,1,5.2,8,8.6,1199.18481,,,2013,1,1,5.2,8,8.6
2014,1,2,0,1.4,3.6,6.6,1402.68571,,,2013,1,2,1.4,3.6,6.6
2014,1,3,0,-2.7,-1,9.9,1466.2479,,,2013,1,3,-2.7,-1,9.9
2014,1,4,1,-0.7,2.8,9.6,1371.82935,,,2013,1,4,-0.7,2.8,9.6
2014,1,5,1,2.9,3.4,9,1269.57531,,,2013,1,5,2.9,3.4,9
2014,1,6,0,3,6.6,7,1482.60904,,,2013,1,6,3,6.6,7
2014,1,7,0,3.6,7.1,11,1516.8329,,,2013,1,7,3.6,7.1,11
2014,1,8,0,5.3,7,6.5,1521.168,,,2013,1,8,5.3,7,6.5
2014,1,9,0,0.2,2.5,5.2,1579.24765,,,2013,1,9,0.2,2.5,5.2
2014,1,10,0,0.7,4.5,3.5,1582.84173,,,2013,1,10,0.7,4.5,3.5
2014,1,11,1,5.1,7.7,0.2,1431.89192,,,2013,1,11,5.1,7.7,0.2
2014,1,12,1,8.3,11.3,0.3,1312.51012,,,2013,1,12,8.3,11.3,0.3
2014,1,13,0,4.8,8.1,-4.3,1542.68428,,,2013,1,13,4.8,8.1,-4.3
2014,1,14,0,6.4,11,-1.4,1580.09961,,,2013,1,14,6.4,11,-1.4
2014,1,15,0,6.4,10.1,0.7,1571.57481,,,2013,1,15,6.4,10.1,0.7
2014,1,16,0,3.4,10.3,0.5,1562.42343,,,2013,1,16,3.4,10.3,0.5
2014,1,17,0,0.3,5.1,4.7,1546.88564,,,2013,1,17,0.3,5.1,4.7
2014,1,18,1,4.7,6.8,6.5,1433.49373,,,2013,1,18,4.7,6.8,6.5
2014,1,19,1,6.8,8.4,-0.9,1322.75015,,,2013,1,19,6.8,8.4,-0.9
2014,1,20,0,10.8,11,-0.1,1513.26039,,,2013,1,20,10.8,11,-0.1
2014,1,21,0,7.9,9,0.9,1584.26425,,,2013,1,21,7.9,9,0.9
2014,1,22,0,6.4,9,3.1,1569.76036,,,2013,1,22,6.4,9,3.1
2014,1,23,0,3.7,8.3,2.3,1556.83291,,,2013,1,23,3.7,8.3,2.3
2014,1,24,0,3.9,6.9,4,1521.30618,,,2013,1,24,3.9,6.9,4
2014,1,25,1,0.3,4.8,3.7,1381.19509,,,2013,1,25,0.3,4.8,3.7
2014,1,26,1,0.3,3.7,2.7,1291.78006,,,2013,1,26,0.3,3.7,2.7
2014,1,27,0,-0.3,3.2,-3.7,1491.79725,,,2013,1,27,-0.3,3.2,-3.7
2014,1,28,0,5.9,7.6,-2.7,1490.56225,,,2013,1,28,5.9,7.6,-2.7
2014,1,29,0,11,10.4,1.6,1398.47272,,,2013,1,29,11,10.4,1.6
2014,1,30,1,13.8,13.1,6.3,1146.63551,,,2013,1,30,13.8,13.1,6.3
2014,1,31,1,15.4,13.3,8,1046.59211,,,2013,1,31,15.4,13.3,8
2014,2,1,1,14.5,13.4,9.3,1072.90133,,,2013,2,1,14.5,13.4,9.3
2014,2,2,1,7.3,13.5,3.7,1110.83326,,,2013,2,2,7.3,13.5,3.7
2014,2,3,0,3.8,9,-1.1,1395.60474,,,2013,2,3,3.8,9,-1.1
2014,2,4,0,6.2,11.9,2.5,1557.47919,,,2013,2,4,6.2,11.9,2.5
2014,2,5,0,4.5,8.8,2.7,1578.9601,,,2013,2,5,4.5,8.8,2.7
2014,2,6,0,3.5,9.3,0.2,1555.4867,,,2013,2,6,3.5,9.3,0.2
2014,2,7,0,1.2,3.2,-2.6,1527.42557,,,2013,2,7,1.2,3.2,-2.6
2014,2,8,1,-1.4,2.8,-6.1,1394.85132,,,2013,2,8,-1.4,2.8,-6.1
